City,Latitude,Longitude
"Kolkata, WB",22.5726,88.3639
"Ranchi, JH",23.3441,85.3096
"Bhubaneswar, OD",20.2961,85.8245
"Siliguri, WB",26.7271,88.3953
"Guwahati, AS",26.1445,91.7362
"Jamshedpur, JH",22.8046,86.2029
"Patna, BR",25.5941,85.1376
"Gaya, BR",24.7914,85.0002
"Muzaffarpur, BR",26.1209,85.3647
"Bhagalpur, BR",25.2425,87.0135
"Dhanbad, JH",23.7957,86.4304
"Cuttack, OD",20.4625,85.8830
"Asansol, WB",23.6740,86.9520
"Durgapur, WB",23.5204,87.3119
"Darbhanga, BR",26.1542,85.8918
"Hazaribagh, JH",23.9932,85.3622
"Kharagpur, WB",22.3302,87.3237
"Shillong, ML",25.5788,91.8933
"Puri, OD",19.8134,85.8315
"Kashipur, UK",29.2104,78.9618
