OrderID,RouteHub,Latitude,Longitude,Volume,Status,Reason,BaselineTime,DelayTime,DelayedTime,ETA,AltPath,FinancialImpact,OrderDate,SourceWarehouse
DLV-67999,"Gaya, BR",24.7914,85.0002,367,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-32754,"Muzaffarpur, BR",26.1209,85.3647,425,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-10145,"Dhanbad, JH",23.7957,86.4304,329,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-78064,"Muzaffarpur, BR",26.1209,85.3647,745,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-55953,"Gaya, BR",24.7914,85.0002,793,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-71276,"Siliguri, WB",26.7271,88.3953,212,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-91628,"Gaya, BR",24.7914,85.0002,733,Delayed,Congested Highway / Toll Queue,10.5,91,12.02,"Jun 6, 12:01 AM",NH Alt Routing,11097,2026-06-05,Patna HQ DC
DLV-79526,"Bhubaneswar, OD",20.2961,85.8245,318,In Transit,Clear & Optimal,34.4,0,34.4,"Jun 6, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-13377,"Puri, OD",19.8134,85.8315,301,In Transit,Clear & Optimal,35.6,0,35.6,"Jun 6, 11:36 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-88084,"Bhubaneswar, OD",20.2961,85.8245,346,At Risk,Heavy Highway Traffic,34.4,46,35.17,"Jun 6, 11:10 PM",NH Alt Routing,2939,2026-06-05,Patna HQ DC
DLV-98904,"Dhanbad, JH",23.7957,86.4304,246,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-66182,"Dhanbad, JH",23.7957,86.4304,106,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-58813,"Bhagalpur, BR",25.2425,87.0135,307,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-34265,"Bhubaneswar, OD",20.2961,85.8245,182,In Transit,Clear & Optimal,34.4,0,34.4,"Jun 6, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-26733,"Kolkata, WB",22.5726,88.3639,464,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-59806,"Durgapur, WB",23.5204,87.3119,652,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-35572,"Bhubaneswar, OD",20.2961,85.8245,316,In Transit,Clear & Optimal,34.4,0,34.4,"Jun 6, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-31149,"Patna, BR",25.5941,85.1376,156,Delivered,Completed,0,0,0,Completed,Standard Routing,0,2026-06-05,Patna HQ DC
DLV-16315,"Cuttack, OD",20.4625,85.883,463,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-71469,"Siliguri, WB",26.7271,88.3953,186,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-76126,"Puri, OD",19.8134,85.8315,644,At Risk,Heavy Highway Traffic,35.6,47,36.38,"Jun 7, 12:23 AM",NH Alt Routing,5104,2026-06-05,Patna HQ DC
DLV-95217,"Puri, OD",19.8134,85.8315,320,Delayed,Congested Highway / Toll Queue,35.6,106,37.37,"Jun 7, 01:22 AM",NH Alt Routing,6360,2026-06-05,Patna HQ DC
DLV-68725,"Ranchi, JH",23.3441,85.3096,329,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-60189,"Jamshedpur, JH",22.8046,86.2029,526,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-88730,"Kolkata, WB",22.5726,88.3639,777,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-92691,"Cuttack, OD",20.4625,85.883,468,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-32229,"Cuttack, OD",20.4625,85.883,464,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-38954,"Guwahati, AS",26.1445,91.7362,332,In Transit,Clear & Optimal,37.7,0,37.7,"Jun 7, 01:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
